Primary Date,trans ID,from team,to team
20000731,63237,BAL,ATL
20000731,63237,ATL,BAL
20000731,63237,ATL,BAL
20000731,63237,ATL,BAL
20000731,63238,BAL,SLN
20000731,63238,BAL,SLN
20000731,63238,SLN,BAL
20000731,63239,KCA,SDN
20000731,63239,SDN,KCA
20000731,63240,OAK,MIN
20000731,63240,MIN,OAK
20000731,63241,SEA,SDN
20000731,63241,SEA,SDN
20000731,63241,SDN,SEA
20000731,63242,TBA,TOR
20000731,63242,TBA,TOR
20000731,63242,TOR,TBA
20000731,63243,MIA,CHN
20000731,63243,MIA,CHN
20000731,63243,CHN,MIA
20000731,63244,WAS,CHN
20000731,63244,CHN,WAS
20000731,63245,COL,LAN
20000731,63245,LAN,COL
20000731,63245,LAN,COL
20000731,63245,LAN,COL
20000731,63245,COL,LAN
20000731,63246,BAL,NYN
20000731,63246,NYN,BAL
20000731,63247,SDN,SLN
20000731,63247,SDN,SLN
20000731,63247,SLN,SDN
20000731,63247,SLN,SDN
20000802,63248,BOS,MIA
20000804,63249,TEX,TOR
20000804,63250,PHI,SDN
20000805,63251,PHI,TOR
20000806,63252,COL,CIN
20000806,63252,CIN,COL
20000807,63250,SDN,PHI
20000807,63251,TOR,PHI
20000807,63253,NYA,PIT
20000807,63253,PIT,NYA
20000808,63210,PIT,SDN
20000808,63249,TOR,TEX
20000808,63254,WAS,SEA
20000810,63254,SEA,WAS
20000811,63255,NYA,KCA
20000811,63255,KCA,NYA
20000812,63256,PIT,WAS
20000812,63256,WAS,PIT
20000830,63226,CLE,MIL
20000830,63257,NYN,OAK
20000830,63257,OAK,NYN
20000831,63258,BOS,MIN
20000831,63258,MIN,BOS
20000831,63259,BOS,CIN
20000831,63259,BOS,CIN
20000831,63259,CIN,BOS
20000909,63260,BOS,MIN
20000909,63260,MIN,BOS
20000920,63261,CHA,BOS
20000928,63254,SEA,WAS
20001107,63262,TOR,CHA
20001107,63262,CHA,TOR
20001108,63263,CIN,COL
20001116,63264,CLE,CIN
20001116,63264,CLE,CIN
20001116,63264,CIN,CLE
20001116,63265,BOS,CIN
20001116,63265,BOS,CIN
20001116,63265,CIN,BOS
20001117,63266,TEX,OAK
20001117,63266,TEX,OAK
20001117,63266,OAK,TEX
20001118,63267,SFN,CHN
20001118,63267,CHN,SFN
20001120,63268,OAK,CHN
20001120,63268,CHN,OAK
20001122,63269,TOR,CIN
20001122,63269,TOR,CIN
20001122,63269,CIN,TOR
20001127,63270,MIA,CHA
20001201,63271,MIL,SDN
20001201,63271,SDN,MIL
20001207,63272,CHA,OAK
20001209,63273,ANA,CIN
20001209,63273,CIN,ANA
20001209,63274,CHA,MIA
20001209,63274,MIA,CHA
20001211,63270,CHA,MIA
20001211,63275,TOR,BAL
20001211,63275,BAL,TOR
20001211,63276,DET,HOU
20001211,63276,DET,HOU
20001211,63276,DET,HOU
20001211,63276,HOU,DET
20001211,63276,HOU,DET
20001211,63276,HOU,DET
20001211,63277,NYN,SDN
20001211,63277,SDN,NYN
20001213,63272,OAK,CHA
20001214,63278,CHA,TEX
20001214,63278,CHA,TEX
20001214,63278,TEX,CHA
20001214,63279,SLN,WAS
20001214,63279,SLN,WAS
20001214,63279,WAS,SLN
20001214,63279,WAS,SLN
20001215,63280,DET,TEX
20001215,63280,DET,TEX
20001215,63280,TEX,DET
20001218,63281,BAL,ATL
20001218,63281,ATL,BAL
20001220,63263,COL,CIN
20001220,63263,COL,CIN
20001220,63271,MIL,SDN
20001220,63271,SDN,MIL
20001222,63282,BAL,WAS
20001222,63282,WAS,BAL
20010103,63283,NYA,COL
20010103,63283,NYA,COL
